,Windows,Mac,Linux,engine,release_date,genre,theme,players,score_final,rating,link
5203,True, False, False,Custom Built,Released 2011,Arcade,Comedy,Single & Co-op,4.9,7 v, http://indiedb.com/games/the-asskickers
5204,True, False, False,Multimedia Fusion,Released Jan 10 2014,Arcade,Anime,Single Player,4.0,3 v, http://indiedb.com/games/ricochet-arena
5209,True, False, False,Unknown,Released Jul 17 2013,Educational,Comic,Single Player,6.3,3 v, http://indiedb.com/games/mr-travel
5215,True, False, False,Unity,Released Jan 10 2014,Adventure,Horror,Single Player,8.5,2 v, http://indiedb.com/games/curse-of-the-hans
5216,True, False, False,Custom Built,Released Jun 5 2013,Role Playing,Fantasy,Single Player,8.0,1 v, http://indiedb.com/games/wss
5217,True, False, False,Blender Game Engine,Released Jun 17 2013,Arcade,Sci-Fi,Single Player,6.0,1 v, http://indiedb.com/games/milkyway-explorers
5221,True, False, True,Blender Game Engine,Released 2011,Realistic Sim,Education,Single Player,7.5,2 v, http://indiedb.com/games/simulador-conalep-169
5223,True, False, False,Custom Built,Released 2012,Arcade,Abstract,Single Player,8.7,27 , http://indiedb.com/games/henry-attacks
5226,True, False, False,RPG Maker VX Ace,Released Dec 11 2013,Role Playing,Sci-Fi,Single Player,6.8,13 , http://indiedb.com/games/menagerie
5228,True, True, True,Unity,Released Sep 24 2013,Role Playing,Medieval,Single & Multiplayer,7.3,23 , http://indiedb.com/games/dungeon-of-elements
5231,True, False, False,Adobe Flash Professional,Released Sep 21 2013,Point and Click,Horror,Single Player,6.6,34 , http://indiedb.com/games/real-horror-stories
5232,True, True, True,Custom Built,Released Aug 31 2013,Puzzle Compilation,Abstract,Single Player,7.8,11 , http://indiedb.com/games/hexcells
5234,True, True, True,Unity,Released Oct 22 2013,Adventure,Sci-Fi,Single & Multiplayer,7.7,44 , http://indiedb.com/games/infinite-pixels
5235,True, False, False,Unity,Released Sep 6 2013,Adventure,Horror,Single Player,8.3,4 v, http://indiedb.com/games/slender-is-in-my-home
5241,True, False, True,Unity,Released 2012,Cinematic,Horror,Single Player,7.8,16 , http://indiedb.com/games/heritage
5247,True, True, True,ioquake3,Released 2007,First Person Shooter,Realism,Multiplayer,8.6,332, http://indiedb.com/games/iourbanterror
5252,True, False, False,Irrlicht 3d Engine,Released 2011,Adventure,Abstract,Single Player,8.8,21 , http://indiedb.com/games/worlds
5258,True, False, False,RPG Maker VX Ace,Released Jun 27 2015,Role Playing,Fantasy,Single Player,8.8,4 v, http://indiedb.com/games/broadsword-legend
5262,True, False, False,GameMaker: Studio,Released May 11 2015,Tower Defense,Abstract,Single Player,4.0,1 v, http://indiedb.com/games/tower-defense-by-atrusario
5264,True, True, False,Custom Built,Released Feb 6 2015,Arcade,Fantasy,Multiplayer,10.0,2 v, http://indiedb.com/games/capture-the-log
5268,True, False, False,GameMaker: Studio,Released Sep 13 2013,Arcade,Sci-Fi,Single & Co-op,7.9,15 , http://indiedb.com/games/hangeki
5273,True, True, False,Custom Built,Released Dec 5 2013,Point and Click,Anime,Single Player,9.0,4 v, http://indiedb.com/games/gomo
5278,True, False, False,Custom Built,Released 2012,Hack 'n' Slash,Fantasy,Multiplayer,8.1,12 , http://indiedb.com/games/realmstone
5279,True, True, True,Unity,Released Jul 12 2013,Platformer,Sci-Fi,Single Player,8.2,31 , http://indiedb.com/games/operation-smash
5280,True, True, True,Custom Built,Released Jun 10 2013,Alternative Sport,Sport,Single Player,8.0,1 v, http://indiedb.com/games/title-bout-championship-boxing-2013
5282,True, True, True,Custom Built,Released Sep 28 2013,Platformer,Sci-Fi,Single Player,7.2,9 v, http://indiedb.com/games/inescapable
5284,True, True, True,Agharta Studio Proprietary Engine,Released Dec 5 2013,Arcade,Sci-Fi,Single Player,7.3,4 v, http://indiedb.com/games/shufflepuck-cantina-deluxe
5286,True, True, False,Unity,Released Dec 2013,Tactical Shooter,Sci-Fi,Multiplayer,4.5,2 v, http://indiedb.com/games/rocket-wreck
5288,True, True, False,libGDX,Released Mar 11 2013,Family,Comic,Single Player,9.5,4 v, http://indiedb.com/games/the-rainbow-machine
5290,True, False, False,Custom Built,Released 2012,Combat Sim,Realism,Single Player,6.0,7 v, http://indiedb.com/games/rideem-low
5293,True, False, False,Blitz MAX,Released Nov 5 2013,Arcade,Sci-Fi,Single Player,8.5,55 , http://indiedb.com/games/proxy
5294,True, False, False,Custom Built,Released 2007,Role Playing,Sci-Fi,Single Player,6.5,2 v, http://indiedb.com/games/last-of-the-patriots
5297,True, False, False,Custom Built,Released Jan 7 2014,Role Playing,Horror,Single Player,10.0,1 v, http://indiedb.com/games/cursed-directions-the-call
5299,True, True, True,Flixel,Released 2012,Roguelike,Sci-Fi,Single Player,8.9,421, http://indiedb.com/games/neo-scavenger
5301,True, False, False,Custom Built,Released 2012,Realistic Sim,Realism,Single Player,7.3,34 , http://indiedb.com/games/ski-park-tycoon
5302,True, False, False,RPG Maker VX Ace,Released Apr 16 2013,Role Playing,Abstract,Single Player,8.3,25 , http://indiedb.com/games/data-hacker-initiation
5303,True, True, False,libGDX,Released Dec 12 2013,Family,Comic,Single Player,8.5,2 v, http://indiedb.com/games/nagiq-2-treasure-hunt
5304,True, True, False,Custom Built,Released Feb 1 2014,Turn Based Tactics,Fantasy,Single & Multiplayer,2.0,1 v, http://indiedb.com/games/war-of-omens
5308,True, True, True,Unity,Released Sep 5 2013,Platformer,Abstract,Single Player,8.4,5 v, http://indiedb.com/games/irritum
5310,True, False, False,Multimedia Fusion,Released 2012,Arcade,Anime,Single Player,8.6,51 , http://indiedb.com/games/banzai-pecan-last-hope-for-the-young-century
5314,True, False, False,GameMaker: Studio,Released 2011,Role Playing,Comic,Single Player,6.8,21 , http://indiedb.com/games/serious-sam-the-random-encounter
5315,True, False, False,Unreal Development Kit,Released Dec 31 2013,Role Playing,Horror,Single Player,5.5,2 v, http://indiedb.com/games/antipathy-dark-revelations
5320,True, True, True,Construct 2,Released Dec 15 2013,Adventure,Sci-Fi,Single Player,5.0,1 v, http://indiedb.com/games/g-ld28
5322,True, True, True,LÖVE,Released Dec 6 2013,Arcade,Abstract,Single Player,7.6,16 , http://indiedb.com/games/top-snake
5324,True, False, False,Construct 2,Released May 11 2013,Platformer,Fantasy,Single Player,8.3,54 , http://indiedb.com/games/mr-coffees-deconstruction
5325,True, True, True,CrystalSpace 3d,Released 2011,Adventure,Fantasy,MMO,6.5,203, http://indiedb.com/games/planeshift
5326,True, False, False,GameMaker: Studio,Released Jun 17 2013,Real Time Strategy,Sci-Fi,Single & Multiplayer,8.4,74 , http://indiedb.com/games/starship-corporation
5327,True, False, False,Multimedia Fusion,Released Jul 30 2013,Adventure,Fantasy,Single Player,9.2,6 v, http://indiedb.com/games/sweezy-gunner
5328,True, True, False,Custom Built,Released Dec 21 2013,Turn Based Strategy,Abstract,Single Player,1.0,2 v, http://indiedb.com/games/na28304
5329,True, False, False,Custom Built,Released Jan 5 2014,Adventure,Fantasy,MMO,10.0,2 v, http://indiedb.com/games/skywardens
5330,True, False, False,RPG Maker VX,Released 2012,Role Playing,Fantasy,Single Player,8.0,1 v, http://indiedb.com/games/victim-of-xen
5332,True, True, True,Flixel,Released 2012,Arcade,Sci-Fi,Single Player,7.9,40 , http://indiedb.com/games/krunch
5336,True, True, True,Custom Built,Released Jun 17 2013,Party,Sci-Fi,Single Player,9.3,7 v, http://indiedb.com/games/qbqbqb
5337,True, True, True,Custom Built,Released 2009,Family,Antiquity,Single Player,8.4,146, http://indiedb.com/games/cogs
5338,True, False, False,Source,Released 2009,First Person Shooter,Fighter,Single Player,8.6,176, http://indiedb.com/games/zeno-clash
5339,True, True, True,Custom Built,Released 2009,Adventure,Sci-Fi,Single Player,9.2,328, http://indiedb.com/games/machinarium
5340,True, True, True,Custom Built,Released 2009,Puzzle Compilation,Fantasy,Single Player,9.2,502, http://indiedb.com/games/braid
5341,True, True, True,Torque Game Engine,Released 2009,Platformer,Comic,Single Player,7.3,180, http://indiedb.com/games/and-yet-it-moves
5342,True, True, True,Custom Built,Released 2009,Puzzle Compilation,Sci-Fi,Single & Multiplayer,8.5,238, http://indiedb.com/games/osmos
5343,True, True, False,Unity,Released 2012,Adventure,Fantasy,Single & Multiplayer,8.1,49 , http://indiedb.com/games/a-valley-without-wind
5344,True, True, True,Custom Built,Released 2011,Point and Click,Realism,Single Player,7.3,165, http://indiedb.com/games/trauma
5345,True, False, False,Custom Built,Released 2011,Point and Click,Sci-Fi,Single Player,9.1,99 , http://indiedb.com/games/gemini-rue
5346,True, True, True,Ren'py,Released 2012,Visual Novel,Sci-Fi,Single Player,8.8,77 , http://indiedb.com/games/analogue-a-hate-story
5347,True, True, True,Custom Built,Released 2012,Point and Click,Fantasy,Single Player,9.5,36 , http://indiedb.com/games/botanicula
5348,True, False, False,Custom Built,Released 2011,Arcade,Sci-Fi,Single Player,7.5,16 , http://indiedb.com/games/data-jammers-fastforward
5349,True, True, False,Custom Built,Released 2012,Arcade,Abstract,Single Player,7.2,11 , http://indiedb.com/games/pop-methodology-experiment-one
5350,True, True, False,Unity,Released 2008,Family,Sci-Fi,Single Player,8.0,24 , http://indiedb.com/games/auditorium
5351,True, True, False,Unity,Released 2012,Adventure,Horror,Single Player,7.1,24 , http://indiedb.com/games/blindside
5352,True, True, False,Adobe Flash Professional,Released 2012,Platformer,Fantasy,Single Player,8.3,30 , http://indiedb.com/games/basketbelle
5353,True, True, True,Custom Built,Released 2012,Platformer,Fantasy,Single Player,8.3,36 , http://indiedb.com/games/bittrip-runner
5354,True, False, False,Custom Built,Released 2010,Point and Click,Fantasy,Single Player,7.5,13 , http://indiedb.com/games/puzzle-bots
5355,True, True, False,Quest3D,Released 2009,Adventure,Horror,Single Player,7.3,35 , http://indiedb.com/games/the-path
5356,True, False, False,XNA,Released May 16 2013,Real Time Strategy,Nature,Single Player,8.5,58 , http://indiedb.com/games/reus
5357,True, False, False,Unreal Engine 3,Released Apr 18 2013,Adventure,Fantasy,Single Player,8.4,17 , http://indiedb.com/games/papo-yo
5358,True, True, True,XNA,Released Jun 26 2013,Platformer,Medieval,Single Player,8.8,75 , http://indiedb.com/games/rogue-legacy
5359,True, True, False,Unity,Released 2012,Visual Novel,Noire,Single & Multiplayer,6.2,18 , http://indiedb.com/games/bientt-lt
5360,True, True, False,Unity,Released Sep 12 2013,Football,Comic,Single & Multiplayer,8.3,15 , http://indiedb.com/games/footlol-epic-fail-league
5373,True, False, False,Blender Game Engine,Released 2012,Puzzle Compilation,Sci-Fi,Single Player,7.1,21 , http://indiedb.com/games/swap
5374,True, True, True,Unity,Released Dec 12 2013,Point and Click,Fantasy,Single Player,9.1,8 v, http://indiedb.com/games/violett
5376,True, False, False,Custom Built,Released Dec 19 2013,Stealth,Nature,Single Player,3.8,14 , http://indiedb.com/games/robber-fly
5381,True, False, False,XNA,Released Dec 5 2013,Platformer,Abstract,Single Player,5.5,2 v, http://indiedb.com/games/bluebloke
5382,True, False, False,GameMaker: Studio,Released Oct 3 2013,Platformer,Fantasy,Single Player,9.3,8 v, http://indiedb.com/games/little-trus-man
5383,True, False, False,Flixel,Released Jul 12 2013,Arcade,Abstract,Single Player,7.7,7 v, http://indiedb.com/games/xcvb
5386,True, False, True,Custom Built,Released Dec 28 2013,Futuristic Sim,Sci-Fi,Single Player,8.0,1 v, http://indiedb.com/games/seizure-ships
5388,True, False, False,Torque Game Engine,Released 2004,First Person Shooter,Abstract,Multiplayer,7.3,8 v, http://indiedb.com/games/vanilla-blockland
5389,True, False, False,Unknown,Released Oct 8 2013,Arcade,Sci-Fi,Single Player,5.0,1 v, http://indiedb.com/games/rofaxan-2089-ad
5390,True, False, False,RPG Maker VX Ace,Released Dec 12 2013,Educational,Fantasy,Single Player,5.8,18 , http://indiedb.com/games/hunt
5392,True, False, False,Unity,Released Oct 19 2013,Arcade,Nature,Single Player,7.0,6 v, http://indiedb.com/games/viral-vigor
5394,True, True, True,Blitz MAX,Released Sep 11 2013,Role Playing,Sci-Fi,Single Player,8.2,16 , http://indiedb.com/games/void-of-darkness
5395,True, False, False,Unreal Development Kit,Released Sep 14 2013,Adventure,Abstract,Single Player,8.0,26 , http://indiedb.com/games/903m
5396,True, False, True,Custom Built,Released Jul 18 2013,Platformer,Comic,Single Multiplayer & Co-Op,9.8,6 v, http://indiedb.com/games/caveexpress
5398,True, True, True,Unity,Released 2012,Arcade,Sci-Fi,Single Player,9.0,13 , http://indiedb.com/games/overlight
5399,True, False, True,Torque Game Engine,Released Dec 28 2013,Futuristic Sim,Sci-Fi,Multiplayer,10.0,1 v, http://indiedb.com/games/talon
5402,True, False, False,Unity,Released Dec 28 2013,Realistic Sim,Comedy,Single Player,9.0,1 v, http://indiedb.com/games/dans-mystery-box
5411,True, False, False,Multimedia Fusion,Released 2011,Turn Based Strategy,Sci-Fi,Single Player,8.8,13 , http://indiedb.com/games/vincere-totus-astrum-to-conquer-all-stars
5419,True, True, True,Custom Built,Released Nov 27 2013,Platformer,Fantasy,Single Player,7.4,5 v, http://indiedb.com/games/durk
5425,True, False, False,Unity,Released Dec 24 2013,First Person Shooter,Horror,Single Player,5.9,7 v, http://indiedb.com/games/lost-in-a-forest
5426,True, False, False,Construct 2,Released Jun 1 2014,Platformer,Fantasy,Single Player,6.0,1 v, http://indiedb.com/games/dreaming-sarah
5427,True, False, False,Custom Built,Released Dec 11 2013,Turn Based Tactics,Sci-Fi,Single Player,6.3,8 v, http://indiedb.com/games/heroes-rush-tactics
5429,True, False, False,Custom Built,Released May 30 2013,Adventure,Anime,Single Player,6.8,16 , http://indiedb.com/games/deo
5430,True, False, False,Torque 2D,Released Jul 3 2013,Turn Based Strategy,Comedy,Single Player,7.9,14 , http://indiedb.com/games/its-a-wipe
5431,True, True, True,Unity,Released Nov 14 2013,Educational,Education,Single Player,8.0,1 v, http://indiedb.com/games/influent
5433,True, False, False,XNA,Released Dec 11 2013,Arcade,Abstract,Single Player,9.0,1 v, http://indiedb.com/games/happy-pong
5434,True, True, False,Unity,Released Jul 31 2013,Platformer,Comic,Single Player,7.7,3 v, http://indiedb.com/games/an-alien-with-a-magnet-hd
5441,True, False, False,XNA,Released 2012,Arcade,Fighter,Single & Multiplayer,9.4,35 , http://indiedb.com/games/fist-puncher
5442,True, True, False,Unity,Released Mar 2013,Arcade,Fantasy,Single Player,8.7,15 , http://indiedb.com/games/ballpoint-universe
5443,True, True, False,Custom Built,Released Nov 7 2013,Roguelike,Fantasy,Single Player,9.0,1 v, http://indiedb.com/games/desktop-dungeons
5444,True, False, False,Custom Built,Released 2012,First Person Shooter,Mafia,Multiplayer,10.0,3 v, http://indiedb.com/games/sub-rosa
5448,True, True, True,Custom Built,Released Nov 21 2013,Adventure,Comic,Single Player,6.0,1 v, http://indiedb.com/games/the-legend-of-equip-pants
5449,True, False, False,Custom Built,Released Nov 25 2013,Car Combat,Sci-Fi,Single & Multiplayer,7.4,45 , http://indiedb.com/games/irr
5450,True, False, False,XNA,Released May 29 2013,Point and Click,Comedy,Single Player,4.4,5 v, http://indiedb.com/games/loupe
5452,True, False, False,Torque 2D,Released Jan 9 2013,Platformer,Sci-Fi,Single Player,8.8,237, http://indiedb.com/games/darkout
5453,True, False, False,Unreal Development Kit,Released 2011,First Person Shooter,Realism,Single Player,7.2,5 v, http://indiedb.com/games/geopolice-2
5456,True, True, True,Custom Built,Released May 23 2013,Arcade,Abstract,Single Player,6.1,11 , http://indiedb.com/games/polygon-storm
5459,True, False, False,XNA,Released 2012,Puzzle Compilation,Realism,Single Player,8.3,4 v, http://indiedb.com/games/puzzle-cubicle
5460,True, False, False,Custom Built,Released 2011,First Person Shooter,Horror,Single & Multiplayer,9.0,129, http://indiedb.com/games/tsluecke
5463,True, False, False,SFML,Released Nov 11 2013,Platformer,Abstract,Single Player,7.5,4 v, http://indiedb.com/games/the-story-of-xid
5464,True, False, False,GameMaker: Studio,Released Dec 16 2013,Fighting,War,Single Player,9.0,1 v, http://indiedb.com/games/onemanarmy
5465,True, True, False,Unity,Released Oct 9 2013,Arcade,Abstract,Single Player,8.7,7 v, http://indiedb.com/games/audio-venture
5467,True, False, False,firebull engine,Released Dec 20 2013,Adventure,Horror,Single Player,6.7,6 v, http://indiedb.com/games/stalked-at-home
5468,True, False, False,Unreal Development Kit,Released Nov 18 2013,Arcade,Sci-Fi,Single Player,7.0,19 , http://indiedb.com/games/perilous-peak
5469,True, False, True,Spark,Released 2012,Real Time Shooter,Sci-Fi,Multiplayer,9.6,146, http://indiedb.com/games/natural-selection-2
5472,True, False, False,Unreal Development Kit,Released Nov 30 2013,Adventure,Abstract,Single Player,8.4,8 v, http://indiedb.com/games/hippocampal
5473,True, False, False,Custom Built,Released Nov 28 2013,Role Playing,Anime,Single Player,9.0,1 v, http://indiedb.com/games/one-way-heroics
5477,True, True, False,Unity,Released 2012,Roguelike,Fantasy,Single Player,8.7,13 , http://indiedb.com/games/dungelot
5478,True, False, False,Custom Built,Released Jan 30 2013,Role Playing,Fantasy,Single Player,8.6,13 , http://indiedb.com/games/malevolence-the-sword-of-ahkranox
5483,True, True, True,Unity,Released Dec 19 2013,Platformer,Fantasy,Single Player,3.0,1 v, http://indiedb.com/games/helpless-santa
5486,True, False, False,Custom Built,Released 2009,Fighting,Horror,Multiplayer,8.9,34 , http://indiedb.com/games/the-black-heart
5487,True, False, False,Unity,Released Oct 28 2013,Adventure,Horror,Single Player,7.3,9 v, http://indiedb.com/games/aterweald-witch-hunt
5489,True, False, False,RPG Maker VX Ace,Released Oct 6 2013,Role Playing,Horror,Single Player,9.7,6 v, http://indiedb.com/games/ripest-of-fears
5492,True, False, False,Custom Built,Released Jul 11 2013,Arcade,Abstract,Single Player,9.4,9 v, http://indiedb.com/games/huenison
5494,True, True, True,Unity,Released Nov 19 2013,Adventure,Nature,Single Player,7.5,4 v, http://indiedb.com/games/down-hill-omg
5496,True, False, False,Unity,Released Dec 18 2013,Adventure,Horror,Single Player,8.5,2 v, http://indiedb.com/games/slender-the-unexpected
5497,True, True, True,Platinum Arts Sandbox Free 3D Game Maker,Released 2011,Platformer,Sci-Fi,Single & Multiplayer,8.2,6 v, http://indiedb.com/games/platinum-runners
5499,True, True, True,Unity,Released Jul 29 2013,First Person Shooter,Fantasy,Single Player,8.5,2 v, http://indiedb.com/games/dragonspawn
5500,True, False, False,Unreal Development Kit,Released 2012,Adventure,Fantasy,Single Player,7.0,1 v, http://indiedb.com/games/the-rite-of-elements
5502,True, False, False,RPG Maker VX Ace,Released Nov 30 2013,Adventure,Noire,Single Player,10.0,2 v, http://indiedb.com/games/hell-diary
5506,True, True, False,Custom Built,Released 2007,Arcade,Sci-Fi,Single Player,4.0,1 v, http://indiedb.com/games/darkside
5508,True, False, True,Custom Built,Released Oct 24 2013,Platformer,Abstract,Single Player,8.3,6 v, http://indiedb.com/games/squaball
5525,True, False, True,Custom Built,Released Mar 21 2014,First Person Shooter,Comic,Multiplayer,9.1,41 , http://indiedb.com/games/survive
5529,True, True, True,GameKumo,Released 2012,Platformer,Comic,Single Player,8.9,57 , http://indiedb.com/games/beans-quest
5530,True, True, True,Unity,Released Dec 16 2013,First Person Shooter,Horror,Single Player,5.5,2 v, http://indiedb.com/games/terra-nova
5531,True, False, False,RPG Maker XP,Released Oct 31 2013,Adventure,Horror,Single Player,7.5,2 v, http://indiedb.com/games/grandmas-house
5532,True, False, False,Unreal Development Kit,Released Dec 20 2013,Role Playing,Fantasy,Single Player,7.7,7 v, http://indiedb.com/games/hymn-of-the-sands
5537,True, True, False,Custom Built,Released Jun 4 2013,Tower Defense,Fantasy,Single Player,9.0,4 v, http://indiedb.com/games/prime-world-defenders
5541,True, False, False,Unity,Released Oct 8 2013,First Person Shooter,Comedy,Multiplayer,7.9,16 , http://indiedb.com/games/mini-combat
5543,True, True, True,Custom Built,Released 2012,Arcade,Sci-Fi,Multiplayer,8.9,32 , http://indiedb.com/games/bitfighter
5545,True, True, True,Slick 2D / Slick AE,Released Aug 15 2013,Real Time Strategy,History,Single Player,8.9,15 , http://indiedb.com/games/tenshu-general
5547,True, True, True,Unity,Released Apr 8 2013,Tower Defense,Abstract,Single & Multiplayer,7.0,2 v, http://indiedb.com/games/cubemen-2
5548,True, False, False,Unity,Released Nov 21 2013,Tower Defense,Comic,Single Player,8.7,21 , http://indiedb.com/games/last-march-of-the-dodos
5550,True, True, True,Unity,Released Dec 14 2013,Adventure,Horror,Single Player,8.1,15 , http://indiedb.com/games/the-groundskeeper
5553,True, True, True,Custom Built,Released Apr 18 2013,Turn Based Strategy,Sci-Fi,Multiplayer,1.0,2 v, http://indiedb.com/games/sol-source-online
5557,True, True, False,Unity,Released Oct 16 2013,First Person Shooter,Horror,Single Player,8.7,3 v, http://indiedb.com/games/lost-in-the-woods
5559,True, False, False,RPG Maker VX Ace,Released Dec 12 2013,Role Playing,Fighter,Single Player,8.0,1 v, http://indiedb.com/games/rpg-mania
5562,True, False, False,Custom Built,Released 2012,Adventure,Horror,Single Player,8.2,162, http://indiedb.com/games/fibrillation
5563,True, True, True,Unity,Released 2012,Futuristic Sim,Sci-Fi,Single & Multiplayer,9.0,2 v, http://indiedb.com/games/godspace-galactic
5565,True, True, True,Unity,Released Jan 16 2013,Adventure,Horror,Single Player,8.1,516, http://indiedb.com/games/one-late-night
5566,True, False, False,Unity,Released Nov 18 2013,Arcade,Comedy,Single Player,7.4,8 v, http://indiedb.com/games/super-crate-lifting
5569,True, False, True,Custom Built,Released Jul 23 2015,Arcade,Sci-Fi,Multiplayer,8.0,1 v, http://indiedb.com/games/void-clash
5571,True, True, False,Unity,Released Jul 21 2015,Adventure,Horror,Single Player,10.0,1 v, http://indiedb.com/games/kidnapped
5574,True, True, True,Custom Built,Released Jun 30 2015,Realistic Sim,Education,Single Player,5.0,1 v, http://indiedb.com/games/poly-bridge
5575,True, False, False,GameStudio A8,Released 2012,Alternative Sport,Sport,Single & Multiplayer,7.9,10 , http://indiedb.com/games/pallino-doro-2012
5576,True, False, False,Custom Built,Released 2011,Tactical Shooter,Sci-Fi,Single Player,10.0,1 v, http://indiedb.com/games/bad-battle-armor-division
5577,True, False, False,Custom Built,Released 2010,Realistic Sim,Realism,Single Player,9.6,46 , http://indiedb.com/games/spaceengine
5581,True, True, False,Unity,Released Mar 3 2014,First Person Shooter,Horror,Single Player,4.3,3 v, http://indiedb.com/games/unity-zombies
5590,True, False, False,Custom Built,Released Apr 12 2014,Role Playing,Abstract,MMO,10.0,1 v, http://indiedb.com/games/laerai-zones-journals-of-the-sunset-keep
5595,True, False, False,Custom Built,Released Oct 15 2014,Party Based,Fantasy,Single Player,8.0,3 v, http://indiedb.com/games/legend-of-grimrock-2
5596,True, True, False,Custom Built,Released 2012,Party Based,Fantasy,Single Player,8.5,15 , http://indiedb.com/games/legend-of-grimrock
5597,True, False, False,Unity,Released Oct 19 2013,Point and Click,Abstract,Single Player,6.3,44 , http://indiedb.com/games/copycat
5598,True, False, False,GameMaker: Studio,Released Aug 29 2013,Third Person Shooter,Sci-Fi,Single Multiplayer & Co-Op,9.3,23 , http://indiedb.com/games/obitus-the-final-departure
5602,True, False, False,RPG Maker VX,Released 2012,Role Playing,Fantasy,Single Player,7.5,15 , http://indiedb.com/games/chronicles-of-a-dark-lord-episode-1-tides-of-fate
5603,True, True, True,Unity,Released 2012,Platformer,Fantasy,Single Player,9.8,72 , http://indiedb.com/games/teslagrad
5604,True, False, False,GameStudio A6 / A7,Released 2010,First Person Shooter,Fighter,Single Player,10.0,2 v, http://indiedb.com/games/hijack-is-forbidden
5605,True, False, False,Stencyl,Released Nov 22 2013,Platformer,Fantasy,Single Player,8.4,5 v, http://indiedb.com/games/goldbeard
5606,True, False, True,Unity,Released Nov 14 2013,Tower Defense,Realism,Single Multiplayer & Co-Op,8.3,3 v, http://indiedb.com/games/fish-vs-crabs
5608,True, False, False,Unity,Released Jul 2 2013,Adventure,Fantasy,Single Player,7.5,12 , http://indiedb.com/games/adventureball
5616,True, True, False,Unity,Released 2012,Puzzle Compilation,Abstract,Single Player,8.1,32 , http://indiedb.com/games/ichi
5617,True, False, False,Custom Built,Released 2011,Platformer,Horror,Single Player,9.8,6 v, http://indiedb.com/games/gyossait-deluxe-edition
5619,True, True, False,Unity,Released Mar 25 2013,Adventure,Horror,Single Player,8.1,28 , http://indiedb.com/games/slender-the-arrival
5620,True, True, False,Unity,Released 2011,Platformer,Abstract,Single Player,9.3,43 , http://indiedb.com/games/jumpingline
5622,True, True, True,Unity,Released Feb 20 2013,Arcade,Fantasy,Single Player,7.1,12 , http://indiedb.com/games/monsters
5623,True, True, False,Custom Built,Released 2012,Turn Based Strategy,Fantasy,Single & Multiplayer,9.0,1 v, http://indiedb.com/games/age-of-fear-2-the-chaos-lord
5624,True, True, False,Custom Built,Released 2011,Turn Based Strategy,Fantasy,Single & Multiplayer,10.0,1 v, http://indiedb.com/games/age-of-fear-the-undead-king
5625,True, False, False,Adobe Flash Professional,Released 2011,Adventure,Anime,Single Player,8.2,10 , http://indiedb.com/games/x-note
5626,True, False, False,GameMaker: Studio,Released Nov 21 2013,Arcade,Education,Single Player,3.0,1 v, http://indiedb.com/games/learn-spanish-adventure
5627,True, False, False,Custom Built,Released 2011,Realistic Sim,Realism,Single Player,5.7,36 , http://indiedb.com/games/bridge-constructor
5634,True, False, False,Custom Built,Released Nov 30 2013,Roguelike,Fantasy,Single Player,8.0,1 v, http://indiedb.com/games/adventure-dungeon
5640,True, True, True,Unity,Released Apr 29 2013,Adventure,Horror,Single Player,9.4,11 , http://indiedb.com/games/pesadelo-the-game
5649,True, False, False,Unity,Released 2012,Platformer,Abstract,Single Player,8.8,36 , http://indiedb.com/games/wooden-sensey
5656,True, True, True,Custom Built,Released 2012,Adventure,Sci-Fi,MMO,2.0,1 v, http://indiedb.com/games/pocket-fleet
5657,True, True, True,Unknown,Released 2001,Realistic Sim,Realism,Single Player,8.2,9 v, http://indiedb.com/games/simutrans
5658,True, False, False,GameMaker: Studio,Released May 13 2013,Arcade,Western,Single Player,10.0,1 v, http://indiedb.com/games/fox-in-the-coop
5659,True, False, False,Adventure Game Studio,Released Sep 15 2013,Point and Click,Noire,Single Player,4.1,13 , http://indiedb.com/games/weathered
5660,True, True, True,Unity,Released Nov 19 2013,Arcade,Sci-Fi,Single Player,8.0,2 v, http://indiedb.com/games/shiden
5662,True, False, False,Adventure Maker,Released Dec 8 2013,Point and Click,Realism,Single Player,8.0,1 v, http://indiedb.com/games/shadows-ii
5664,True, False, False,Gamebryo,Released Jul 9 2013,Adventure,Fighter,MMO,7.9,123, http://indiedb.com/games/divine-souls
5668,True, False, False,Monkey,Released Jan 23 2013,Educational,Abstract,Single & Co-op,8.2,22 , http://indiedb.com/games/stack-overload
5670,True, True, False,Unity,Released Apr 29 2014,Turn Based Strategy,Fantasy,Single Player,6.0,2 v, http://indiedb.com/games/vae-victis
5675,True, False, False,Multimedia Fusion,Released Dec 7 2013,Platformer,Anime,Single Player,5.0,2 v, http://indiedb.com/games/core-of-innocence
5676,True, True, True,Unity,Released Nov 14 2013,Arcade,Sci-Fi,Single & Co-op,9.0,2 v, http://indiedb.com/games/assault-android-cactus
5678,True, False, False,Unreal Development Kit,Released Jun 13 2013,Fighting,Fantasy,Single & Multiplayer,8.8,25 , http://indiedb.com/games/rooks-keep
5679,True, False, False,Unity,Released 2012,Adventure,Sci-Fi,Single & Multiplayer,9.0,193, http://indiedb.com/games/edge-of-space
5680,True, False, False,Custom Built,Released Jun 17 2013,Hack 'n' Slash,Fantasy,Single & Co-op,7.4,70 , http://indiedb.com/games/lair-of-the-madhat
5687,True, True, False,Unity,Released 2012,Adventure,Fantasy,Single Player,9.0,43 , http://indiedb.com/games/qasir-al-wasat
