,Windows,Mac,Linux,engine,release_date,genre,theme,players,score_final,rating,link
11260,True, False, False,Construct,Released 2009,Educational,Realism,Single Player,10.0,1 v, http://indiedb.com/games/niilu
11261,True, False, False,Custom Built,Released 2010,Platformer,Sci-Fi,Single Player,9.5,32 , http://indiedb.com/games/island-hopping
11263,True, False, False,Custom Built,Released 2007,Adventure,Sci-Fi,Single Player,10.0,3 v, http://indiedb.com/games/mrrobot
11264,True, False, False,Custom Built,Released 2003,Role Playing,Sci-Fi,Single Player,9.8,4 v, http://indiedb.com/games/starscape
11267,True, False, False,GameMaker: Studio,Released 2008,Platformer,Comedy,Single Player,5.7,7 v, http://indiedb.com/games/the-balls-game
11269,True, False, False,GameMaker: Studio,Released 2009,Family,Comic,Single Player,7.3,4 v, http://indiedb.com/games/lag
11271,True, False, False,RPG Maker XP,Released 2010,Role Playing,Sci-Fi,Single Player,10.0,2 v, http://indiedb.com/games/star-trek-the-new-adventures
11272,True, False, False,Multimedia Fusion,Released 2010,Platformer,Fantasy,Single Player,7.0,2 v, http://indiedb.com/games/the-sanzaru-fortress
11273,True, False, False,GameMaker: Studio,Released 2010,Family,Sci-Fi,Single Player,8.7,3 v, http://indiedb.com/games/supa-blast-o-naut
11274,True, True, False,Unity,Released 2009,Puzzle Compilation,Sci-Fi,Single Player,8.0,4 v, http://indiedb.com/games/boxgame
11275,True, False, False,Custom Built,Released 2010,Racing,Sport,Single & Multiplayer,9.7,7 v, http://indiedb.com/games/driving-speed-pro
11276,True, False, False,GameMaker: Studio,Released 2009,Platformer,Sci-Fi,Single Player,9.5,2 v, http://indiedb.com/games/you-cant-possibly-expect-me-to-do-that
11277,True, False, False,GameMaker: Studio,Released 2010,Platformer,Comedy,Single Player,10.0,1 v, http://indiedb.com/games/murder-man
11278,True, False, False,GameMaker: Studio,Released 2010,Platformer,Horror,Single Player,7.1,7 v, http://indiedb.com/games/abomination
11280,True, False, False,Custom Built,Released 2010,Real Time Strategy,Comedy,Single & Multiplayer,3.0,2 v, http://indiedb.com/games/defend-your-cheese
