No Score | General | great-invasions-the-darkages-350-1066-ad |
6.8 | Arcade | inversion |
6.5 | Scrolling | ion-assault |
7.4 | General | ionball-2-ionstorm |
5.3 | Other Shooters | iron-brigade |
6.5 | General | iron-front-liberation-1944 |
7.6 | First-Person Shooters | iron-grip-warlord |
2.8 | General | iron-man |
6.2 | General | iron-sky-invasion |
5.6 | Historic | iron-storm |
6.6 | Combat Sims | iron-warriors-t-72-tank-command |
7.0 | General | ironclad-tactics |
No Score | General | its-the-big-game-charlie-brown |
7.8 | General | ittle-dew |
No Score | General | julia |
7.9 | General | julia-among-the-stars |
3.1 | Action | jasf-janes-advanced-strike-fighters |
7.0 | General | jack-keane |
6.5 | Adventure Games | jack-keane-2-the-fire-within |
6.8 | Modern | jack-the-ripper |
8.2 | Action RPG | jade-empire-special-edition |
8.3 | Tactics | jagged-alliance-2-unfinished-business |
5.4 | Tactics | jagged-alliance-back-in-action |
3.8 | Modern | jagged-alliance-crossfire |
4.4 | Historic | jagged-alliance-flashback |
7.1 | Arcade | james-bond-007-blood-stone |
7.3 | General | james-camerons-avatar-the-game |
7.5 | Vertical | jamestown-legend-of-the-lost-colony |
No Score | Modern Jet | janes-attack-squadron |
7.4 | General | jaws-unleashed |
No Score | Adventure Games | jazz-and-faust |
7.7 | Sci-Fi | jazzpunk |
7.0 | Action | jekyll-hyde-2001
 |
6.8 | General | jet-car-stunts |
No Score | Combat Sims | jetfighter-iv-fortress-america |
4.0 | Combat Sims | jetfighter-v-homeland-protector |
No Score | Futuristic Jet | jetfighter-2015 |
7.5 | General | joe-danger-2-the-movie |
7.0 | General | joe-devers-lone-wolf-hd-remastered |
9.0 | Modern | joint-operations-escalation |
8.9 | Modern | joint-operations-typhoon-rising |
7.6 | Modern | joint-task-force |
8.0 | General | jolly-rover |
6.3 | General | journal |
7.3 | Puzzle | journey-of-a-roach |
5.1 | Fantasy | journey-to-the-center-of-the-earth |
7.3 | Sci-Fi | judge-dredd-dredd-vs-death |
7.4 | GT / Street | juiced |
5.0 | Automobile | juiced-2-hot-import-nights |
No Score | Futuristic Combat Sims | jumpgate-the-reconstruction-initiative |
8.6 | Tycoon | jurassic-park-operation-genesis |
4.4 | Point-and-Click | jurassic-park-the-game |
7.3 | Open-World | just-cause |
7.7 | Open-World | just-cause-2 |
No Score | Action Adventure | k-hawk-survival-instinct |
7.9 | General | kairo |
7.3 | 3D | kao-the-kangaroo |
7.8 | First-Person Shooters | kiss-psycho-circus---the-nightmare-child |
5.8 | Modern | kane-lynch-2-dog-days
 |
5.9 | Modern | kane-lynch-dead-men
 |
4.8 | General | karateka |
6.7 | Fantasy | keepsake |
7.8 | Surfing | kelly-slaters-pro-surfer |
7.5 | Adventure Games | kentucky-route-zero---act-i |
8.0 | Adventure Games | kentucky-route-zero---act-ii |
6.5 | General | kentucky-route-zero---act-iii |
6.5 | Scrolling | kero-blaster |
7.7 | Music | kickbeat-steam-edition |
6.3 | Action | kill-the-bad-guy |
6.5 | General | killer-is-dead-nightmare-edition |
8.6 | Sci-Fi | killing-floor |
6.5 | Massively Multiplayer | king-arthur-ii-the-role-playing-wargame |
8.2 | 2D | king-arthurs-gold |
